character	level	sequence
㟻	ordered	車 𠂆  山
㟼	ordered	山 龶  攵
㟽	bag	 山 示
㟾	bag	 山 广 月 
㟿	bag	 十 山 犬
㠀	ordered	⑦ 灬 山
㠁	bag_ops	人 厶 厶 厶 山 彡 
㠂	bag_ops	丿 山 攵 龶  ⿰ 
㠃	bag	 山
㠄	bag_ops	 山 白   ⿹
㠅	bag	夂 山 
㠆	bag	 山 甲
㠇	bag	 尢 山
㠈	bag	 山 𠁣 𠃛
㠉	bag	 山 甲
㠊	bag	② ⑥ ⺊  山
㠋	bag	  口 山
㠌	bag	 山 欠
㠍	bag_ops	山 木 隹 
㠎	ordered	山 
㠏	bag	⑦  山
㠐	bag_ops	  山  ⿵ ⿻
㠑	bag_ops	山  
㠒	bag	  山 示
㠓	bag	 山 𧰨
㠔	bag	 山
㠕	bag	 山 田 阝
㠖	bag_ops	 山 我  
㠗	bag	 丿  山 米
㠘	bag_ops	②   山 彐  ⿳ 
㠙	bag	  山 𧰨
㠚	bag	  山
㠛	bag	 又 山 隹
㠜	bag_ops	 山   
㠝	bag	  山 目
㠞	bag	 十 山 山 彳 攵
㠟	bag	丷   勹 山 木
㠠	bag	 山 田 皿
㠡	bag	⑥  山 灬 𧘇
㠢	bag	  山 田 𧘇
㠣	bag	   止
㠤	bag	 井  山 𧘇
㠥	bag	 山 田 田 田
㠦	bag	  丨 山 山 豆
㠧	bag	山  非
㠨	bag	⑤ 㐅  寸 山  罒
㠩	bag	丨  𠃊
㠪	bag	⺊ 
㠫	bag	 人 
㠬	bag	 工
㠭	bag	工 工 工 工
㠮	bag	 工 日
㠯	bag	㠯 ⸻
㠰	bag	 己 𠃌
㠱	bag	 己
㠲	bag	 
㠳	bag	入 巾
㠴	bag	 巾 𠃌
㠵	bag	 𠃊
㠶	bag	丿 
㠷	bag	及 巾
㠸	bag	 巾
㠹	bag	 巾
㠺	bag	 巾
㠻	bag	巾 耂
㠼	bag	 巾 𠂆
㠽	bag	 夂 巾
㠾	bag	 巾 𠂊
㠿	bag	 巾 止
㡀	bag	丷 八 
㡁	bag	㇉  巾
㡂	bag	 巾 𠂊
㡃	bag	丨  巾 𠃊
㡄	bag	勹 巾 日
㡅	bag	 巾 
㡆	bag	  巾 𠃊
㡇	bag	巾 耳 𠃊
㡈	bag	⑤ 巾 𠂊
㡉	bag	 巾 弓
㡊	bag	勹 巾 臼
㡋	bag	 巾 日
㡌	bag	 巾 月
㡍	bag	 
㡎	bag	 巾 彡
㡏	bag	 巾 月
㡐	bag	 刂 巾 月
㡑	bag	丿  巾 木
㡒	bag	十 巾 
㡓	bag	冖 巾 車
㡔	bag	 巾 攵 龴
㡕	bag	 央 巾
㡖	bag	巾 重
㡗	bag	  𠂆
㡘	bag	 巾 
㡙	bag	㐅 丿 囗 巾 比
㡚	bag	 冉 巾
㡛	bag	 巾 𠃊
㡜	bag	 巾 
㡝	bag	 巾 辶
㡞	bag	⑧ 女 巾
㡟	bag	一 巾 日 曲
㡠	bag	 巾 豆
㡡	bag	厂 寸 巾 豆
㡢	bag	 巾  𠃌
㡣	bag	⑦ 
㡤	bag	 巾 未
㡥	bag	 巾  𭕄
㡦	bag	 巾 目 𣥂
㡧	bag	  巾 豆
㡨	bag	  巾 非
㡩	bag	②  丶 小 小 巾 言
㡪	bag	丨  夂 尸 巳 巾 止 𭕄
㡫	bag	  𠃊
㡬	bag	②  丶 
㡭	bag	 ②   丶 𠃊 𠃊
㡮	bag	   丿 乁 乚 人 𠂉
㡯	bag	 广
㡰	bag	于 广
㡱	bag	久 广
㡲	bag	 广
㡳	bag	广 氏
㡴	bag	 广
㡵	bag	 
㡶	bag	 广
㡷	bag	广 本
㡸	bag	乍 广
㡹	bag	且 广
㡺	bag	 日
㡻	bag	卩 广 𠂎
㡼	bag	广 曳
㡽	bag	 
㡾	bag	广 艮
㡿	bag	 
㢀	bag	广 朿
㢁	bag	 广 
㢂	bag	㠯 丿 广
㢃	bag	 艮
㢄	bag	广 豆
㢅	bag	  广
㢆	bag	 广 
㢇	bag	广 言
㢈	bag	广 隹
㢉	ordered	广  丿 
㢊	bag	 广
㢋	bag	 亻 广 
㢌	bag	 广 阝
㢍	bag	 央 广
㢎	bag	 广 臼
㢏	bag	 广 
㢐	bag	冂  广 𠃍
㢑	bag	十 广 隹
㢒	bag	 ㇀ 且 乚 广
㢓	bag	 广 日
㢔	bag	 广 彳 龰
㢕	bag	乡 广 隹
㢖	bag	丿 广 
㢗	bag	  广
㢘	bag	  广 灬 
㢙	bag	  
㢚	bag	  广 
㢛	bag	   广
㢜	bag	 心 田
㢝	bag	丿 广 木 灬 
㢞	bag	 广 
㢟	bag	③ 廴
㢠	bag	 廴
㢡	bag	 冫 寸 爿 𠂊
㢢	bag	⺌   攵
㢣	bag	 勹 
㢤	bag	 
㢥	bag	 
㢦	bag	   
㢧	bag_ops	一 弓 ⿹
㢨	bag	干 弓
㢩	bag	 弓
㢪	bag	 弓
㢫	bag	山 弓
㢬	bag	厶 弓 𠂇
㢭	bag	⺊ 又 弓
㢮	bag	也 弓 𠂉
㢯	bag	弓 民
㢰	bag	弓 皮
㢱	bag	厶 小 弓
㢲	bag	 弓 弓
㢳	bag	④ 弓 𠂉
㢴	bag	丶  囗 弓
㢵	bag_ops	 弓 
㢶	bag	一 弓 白
㢷	bag	 弓 𠂊
㢸	bag	弓 弓 攵
㢹	bag	 弓
㢺	bag	 女 弓
㢻	bag	 弓 木
㢼	bag	丷 八 巾 
㢽	bag	弓 弓 耳
㢾	bag	  弓
㢿	bag	 弓 
㣀	bag	 弓
㣁	bag	 弓
㣂	bag	   
㣃	bag	 弓 弓 月
㣄	bag	巨 弓 
㣅	bag	弓 旡 旡 日
㣆	bag	    乀  巾 弓
㣇	bag	 巾 彑
㣈	bag	  巾 巾 彑 彑
㣉	bag	工 彡
㣊	bag	彡 攵
㣋	bag	丶 井 彡
㣌	bag	 彡
㣍	bag	 彡
㣎	bag	小 彡 白
㣏	bag	 
㣐	bag	 彡 白
㣑	bag	 广 彡 月 
㣒	bag	 
㣓	bag	⺊ 丶 又 彡 米 𠂊
㣔	bag	 彳
㣕	bag	 
㣖	bag	 彳
㣗	bag	丿 尸 彳
㣘	bag	 彳
㣙	bag	彳 由
㣚	bag	一  彳
㣛	bag	 彳
㣜	bag	 刂 彳
㣝	bag	 彳 𠂇
㣞	bag	  彳
㣟	bag	 彳
㣠	bag	丨  夂 彳
㣡	bag	 口 彳
㣢	bag	 彳
㣣	bag	  彳
㣤	bag	  彳
㣥	ordered	彳 亻  寸
㣦	bag	 彳 木
㣧	bag	 乚 彳 月
㣨	bag	 女 彳
㣩	bag	彳 
㣪	bag	  
㣫	bag	彳 重
㣬	bag	口 彳 耳
㣭	bag	㐅 八 凵 夂 彳
㣮	bag	 彳
㣯	bag	⺌ 尸 彳 月
㣰	bag	丿 彳 心 米
㣱	bag	八 彳 
㣲	bag	 山 彳 攵
㣳	bag	一 卌 彳 灬 𠂉
㣴	bag	 廿 彳 由
㣵	bag	 十 彳 辶
㣶	bag	  彳 日
㣷	bag	 宀 彳 心 皿
㣸	bag	 彳 生 𧰨
㣹	bag	亻 广 彳 心 隹
㣺	bag	丶 小
㣻	bag	 心
㣼	bag	 忄 𠃌
㣽	bag	女 
㣾	bag	丶 又 
㣿	bag	 忄
㤀	bag	入 
㤁	bag	 心
㤂	bag	及 心
㤃	bag	 忄 𠃌
㤄	bag	一 巾 忄
㤅	bag	心 旡
㤆	bag	又 忄 𠂆
㤇	bag	 忄
㤈	bag	心 
㤉	bag	忄 牙
㤊	bag	㐅  忄
㤋	bag	 忄 𠃌
㤌	bag	忄 甘
㤍	bag	 工 心
㤎	bag	 心 𠃌
㤏	bag	 夂 忄
㤐	bag	 
㤑	bag	口 
㤒	bag	 忄
㤓	bag	忄 本
㤔	bag	 忄
㤕	bag	 忄
㤖	bag	 宀 忄
㤗	bag	  小
㤘	bag	彐 忄 𠂊
㤙	bag	囗 心 
㤚	bag	 彳 忄
㤛	bag	  忄
㤜	bag	丶 忄 戊
㤝	bag	 厶 忄
㤞	bag	 宀 忄
㤟	bag	心 曲
㤠	bag	 
㤡	bag	 忄 𠂊
㤢	bag	忄 
㤣	bag	 心
㤤	bag	 
㤥	bag	 忄 𠃋
㤦	bag	一 史 忄
㤧	bag	 忄 𠂆
㤨	bag	 忄
㤩	bag	 心
㤪	bag	㔾  
㤫	bag	心 
㤬	bag	 忄
㤭	bag	 忄
㤮	bag	 心 犭
㤯	bag	 口 忄
㤰	bag	乍 亻 心
㤱	bag	忄 豆
㤲	bag	  
㤳	bag	 忄
㤴	bag	忄 耳 𠃊
㤵	bag	子 心 攵
㤶	bag	 彡 忄
㤷	bag	 忄
㤸	bag	④  忄
㤹	bag	 忄
㤺	bag	  
㤻	bag	 卩 心 𠂎
㤼	bag	 厶 忄 𠃌
㤽	bag	 忄
㤾	bag	 忄 木
㤿	bag	 
㥀	bag	 忄
㥁	bag	十  𠃊
㥂	bag	一 寸 
㥃	bag	忄 𠁣 𠃛
㥄	bag	一  夂 忄
㥅	bag	 忄 𭕄
㥆	bag	忄 隶
㥇	bag	  忄
㥈	bag	 巾 心
㥉	bag	 忄
㥊	bag	 月
㥋	bag	 心 𧘇
㥌	bag	勹 忄 米
㥍	bag	 忄
㥎	bag	 心 木
㥏	bag	⑥ 八 忄
㥐	bag	 卩 口 心
㥑	full	⿱ ⑧ 心
㥒	bag	丿 忄 
㥓	bag	 忄
㥔	bag	 
㥕	bag	 心
㥖	bag	丹  心
㥗	bag	 
㥘	bag	  厶 忄 𠃌
㥙	bag	 心 忄
㥚	bag	人 忄 臼
㥛	bag	一  又 口 忄
㥜	bag	忄 
㥝	bag	弓 忄 耳
㥞	bag	 忄 𧰨
㥟	bag	彑 忄 𧰨
㥠	bag	 疋
㥡	bag	 尸 忄 木
㥢	bag	丷 忄 酉
㥣	bag	  心
㥤	bag	㇇   人 心 龴
㥥	bag	忄 禺
㥦	bag	  匚 心
㥧	bag	忄 頁
㥨	full	 女    心
㥩	bag	 耂
㥪	bag	女 忄 米
㥫	bag	 
㥬	bag	 忄 𠃌
㥭	bag	  忄
㥮	bag	丨  勹 勹 忄
㥯	bag	  𭕄
㥰	bag	 忄 臼
㥱	bag	匚 忄 非
㥲	bag	 心
㥳	bag	 
㥴	bag	 几 忄 𠂆
㥵	bag	一 囗 忄 𧰨
㥶	bag	 心
㥷	bag	  广 心
㥸	bag	心 民 田
㥹	bag	 心 米 𠃌
㥺	bag	 忄 皿
㥻	bag	 戊 木
㥼	bag	 忄 止 灬
㥽	bag	八 忄 
㥾	bag	丨 匚  
㥿	bag	 攵 
㦀	bag	 忄 辶
㦁	bag	心 車 辶
㦂	bag	 巾 心
㦃	bag	 
㦄	bag	广 心 
㦅	bag	⑤ 冖 巾 忄
㦆	bag	 ㇀ 乎 乚 忄
㦇	bag	 广 忄 比 
㦈	bag	 忄 皿
㦉	bag	 忄 豆
㦊	bag	⑦ 
㦋	bag	 
㦌	bag	    乚 心
㦍	bag	  忄
㦎	bag	 忄 田 
㦏	bag	 巳 忄
㦐	bag	  八 忄 目
㦑	bag	乛 忄 攵 耳
㦒	bag	忄 罒 言
㦓	bag	冫 忄 
㦔	bag	 心 月 犬
㦕	bag	  阝
㦖	bag	心 忄 𠁣 𠃛
㦗	bag	忄 
㦘	bag	 心 攵 白 𠃌
㦙	bag	心 忄 禺
㦚	bag	  心
㦛	bag	②   
㦜	bag	 又 忄 隹
㦝	bag	  豸
㦞	bag	 乛  寸 工 心
㦟	bag	 心 甲 豸
㦠	bag	  忄
㦡	bag	②  丶 忄 
㦢	bag	⑤  卩 忄 
㦣	bag	㐄  口 彳 心 𫝀
㦤	bag	 心 欠 豆
㦥	bag	 宀 心 忄 罒
㦦	bag	 忄 臼 𠁣 𠃛
㦧	bag	  
㦨	bag	忄 柬 𠁣 𠃛
㦩	bag	  忄 
㦪	bag	 又 忄 言
㦫	bag	 八 忄 目 
㦬	bag	 丶 忄 罒 隹
㦭	bag	    口 工 忄
㦮	bag	 ⸻
㦯	bag	 厶
㦰	bag	 人 
㦱	bag	 
㦲	bag	  
㦳	full	⿹ ⿶ ⿻    十 
㦴	bag	  夂
㦵	bag	 朱
㦶	bag	 十 厶
㦷	bag	  
㦸	bag	⺊  
㦹	bag	  勹 日
㦺	bag	   乚 厂 寸 𠄌
㦻	bag	  白 
㦼	bag	  人 臼
㦽	bag	   
㦾	bag	丶 也 尸
㦿	bag_ops	 木 
㧀	bag	丶 及 尸
㧁	bag	 厶 尸
㧂	bag	 田
㧃	bag	丩 扌
㧄	bag	凵 扌
㧅	bag_ops	  ⿹
㧆	bag	巾 
㧇	bag	 扌
㧈	bag	弓 扌
㧉	bag	 
㧊	bag	一 巾 扌
㧋	bag	扌 
㧌	bag_ops	 扌 
㧍	bag	 扌 𠃌
㧎	bag	扌 
㧏	bag	 扌
㧐	bag	 
㧑	bag	为 扌
㧒	bag	 
㧓	bag	扌 瓜
㧔	bag	戊 扌
㧕	bag	卩 扌 𠂎
㧖	bag	丶 乙 
㧗	bag	 扌 止
㧘	bag	 手 止
㧙	bag	 扌
㧚	bag	扌 瓦
㧛	bag	 手 𠂉
㧜	bag	匚 巾 扌
㧝	bag	 手 𠃌
㧞	bag	丿  𠂇
㧟	bag	匚 扌 
㧠	bag	厶 小 扌
㧡	bag	 扌 𠃋
㧢	bag	 扌
㧣	bag	扌 朱
㧤	bag	 厶 扌
㧥	bag	 扌 𠂒
㧦	bag	勹 
㧧	bag	 扌
㧨	bag	 
㧩	bag	一  扌
㧪	bag	 
㧫	bag	 扌
㧬	bag	 手
㧭	bag	工 手 阝
㧮	bag	扌 臼
㧯	bag	 扌 耂
㧰	bag	乐 扌
㧱	bag_ops	 
㧲	bag	宀 
㧳	bag	 手 扌 𠃌
㧴	bag	我 扌
㧵	bag	 
㧶	bag	扌 身
㧷	bag	 
㧸	bag	  
㧹	bag	一 寸 
㧺	bag	 
㧻	bag	 扌 𧰨
㧼	bag	扌 
㧽	bag	 扌
㧾	bag	 心 扌
㧿	bag	 扌 龰
㨀	bag	  
㨁	bag	 扌
㨂	bag	扌 東
㨃	bag	 
㨄	bag	 扌
㨅	bag	丨 人  扌
㨆	bag	扌 
㨇	bag	手 
㨈	bag	   扌
㨉	bag	 民
㨊	bag	工 扌 
㨋	bag	 耂
㨌	bag	 又 手 𠘧
㨍	bag	  手
㨎	bag	  冂 扌
㨏	bag	 山 扌 𠂇
㨐	bag	亻  木
㨑	bag	㐅 八 凵 夂 扌
㨒	bag	  扌
㨓	bag	 扌 牛
㨔	bag	 戊 扌
㨕	bag	丿  皿 𠄎
㨖	bag	 
㨗	bag	 扌 龰 
㨘	bag	 扌 目
㨙	bag	②  扌 𭕄
㨚	bag	 
㨛	bag	人 扌 𠁣 𠃛
㨜	bag	 ㇀  乚 扌
㨝	bag	⺌  月
㨞	bag	 扌 龶
㨟	bag	山 扌 豆
㨠	bag	 八 冖 
㨡	bag	一 囗 扌 𧰨
㨢	bag	 厶 
㨣	bag	八  厶 扌 
㨤	bag	匚 
㨥	bag	  冂 扌
㨦	bag_ops	 隹 
㨧	bag	 
㨨	bag	 扌 
㨩	bag	 廴 扌
㨪	bag	 
㨫	bag	 扌 
㨬	bag	 扌 𧘇
㨭	bag	 尸 
㨮	bag	②   
㨯	bag	 扌 阝
㨰	bag	  扌 𧘇
㨱	bag	 扌 言 𠂊
㨲	bag	 
㨳	bag	 宀 扌
㨴	bag	乙   𠂉
㨵	bag	   𠃌
㨶	bag	⑦ 扌 灬
㨷	bag	口 廿 扌 龶
㨸	bag	 心 扌
㨹	bag	  丨 
㨺	bag	入 入 巾 廿 扌
㨻	bag	 手 車 𠂆
㨼	bag	 手 田
㨽	bag	一 刂  田
㨾	bag	 扌 永
㨿	bag	 几 夂 扌
㩀	bag	 ㇀  勹 扌
㩁	bag	宀 
㩂	bag	扌 斗 角
㩃	bag	  扌
㩄	bag	山 心 
㩅	bag	丣 
㩆	bag	 尢 扌
㩇	bag	  
㩈	bag	  宀 扌 
㩉	bag	  扌 
㩊	bag	丿 寸  𭕄
㩋	bag	扌 肅
㩌	bag	 八 弓 扌 目
㩍	bag	 扌 
㩎	bag	  犬
㩏	bag	⑧ 扌 灬
㩐	bag	 扌 
㩑	bag	 
㩒	bag	扌 
㩓	bag	 手 
㩔	bag	 又  𠘧
㩕	bag	 冂 扌 龴
㩖	bag	 一  田
㩗	bag	丿 山  𠄎
㩘	bag	 我 扌
㩙	bag	  宀 扌
㩚	bag	 扌 𧰨
㩛	bag	⑧ 囗 寸 扌
㩜	bag	 皿 臣 𠂉
㩝	bag	  扌 𧰨
㩞	bag	  木
㩟	bag	 
㩠	bag	 广 扌 比 灬 
㩡	bag	   
㩢	bag	 戊 
㩣	bag	冖  扌 車 
㩤	bag	   𠃌
㩥	bag	 十 
㩦	bag	  隹
㩧	bag	 
㩨	bag	  丨  扌
㩩	bag	㇇ 丿  乚 亅 扌 頁
㩪	bag	  頁
㩫	bag	 丨 八 扌  𠂆
㩬	bag	② ⑥ ⺊ ㇀  乚 扌
㩭	bag	③ 㐅  冖 子 
㩮	bag	②   彐 手 扌
㩯	bag	  
㩰	bag	  
㩱	bag	⑤ 丿 寸  𭕄
㩲	bag	  隹
㩳	bag	 隹 隹
㩴	bag	扌 目 目 隹
㩵	bag	 ㇀   乚 冂  犬
㩶	bag	   乀  八 巾 扌 
㩷	bag	⑥  扌 灬
㩸	bag	冖 彑  田 田
㩹	bag	且  田 田 田
㩺	bag	 比
㩻	bag	㔾  又 𠂊
㩼	bag	  
㩽	bag	 束
㩾	bag	⑥  又
㩿	bag	乙 攵 𠂉
㪀	bag	于 攵
㪁	bag	⺊  又
㪂	bag	⺊  又 𠂉
㪃	bag	⺊  又 口
㪄	bag	 攵
㪅	bag	⺊  又
㪆	bag	⺊ 丶 又 氏
㪇	bag	 攵 𠂒
㪈	bag	⺊  又
㪉	bag	 攵
㪊	bag	⺊  又 口 
㪋	bag	⺊ 又 干 日
㪌	bag	⺊  又 龴
㪍	bag	 子 
㪎	bag	⺊   又
㪏	bag	⺊  又 白
㪐	bag	⺊ 丶 又 尸 犬
㪑	bag	 乚 人 
㪒	bag	⺊  又 臼
㪓	bag	③ ⺊  
㪔	bag	⺊ 又 
㪕	bag	⺊ ⺊ 十 
㪖	bag	⺊  又 彐
㪗	bag	⺊  又 口
㪘	bag	  攵
㪙	bag	攵 
㪚	bag	 攵 日
㪛	bag	⑤ ⺊  匚 又
㪜	bag	⺊  又 山
㪝	bag	⺊ 又 柬
㪞	bag	⺊  又 目
㪟	bag	 攵 日
㪠	bag	  
㪡	bag	⺊  又 
㪢	bag	⺊ 丨  臼
㪣	bag	 攵
㪤	bag	⑨ 
㪥	bag	 ⺊ ㇀ 且 乚 又
㪦	bag	 攵 由
㪧	bag	⺊   又  𠃌
㪨	bag	⺊  又 口
㪩	bag	⺊ 又 肅
㪪	bag	⺊  又 非
㪫	bag	⺊ ⺊   又 目
㪬	bag	⺊  又 隹 
㪭	bag	 ⺊  又 田 皿
㪮	bag	⺊  又  口
㪯	bag	 
㪰	bag	 米
㪱	bag	   冂 𠂊
㪲	bag	斗 𠃍
㪳	bag	㇣ 斗
㪴	bag	 斗
㪵	bag	 斗
㪶	bag	一 斗 白
㪷	bag	斗 豆
㪸	bag	 斗
㪹	bag	⑧ 女 斗
㪺	bag	 斗 目 目
㪻	bag	②  丶 小 小 斗 言
㪼	bag	 亅 口 𠂆
㪽	bag	 日 𠂆
㪾	bag	  𠂆
㪿	bag	  𠂆
㫀	bag	  𠂆
㫁	bag	    𠂆 𠃊
㫂	bag	  灬 𠂆
㫃	bag	 𠃌
㫄	bag	  勹 𠃌
㫅	bag	 丶  人 𠃌
㫆	bag	 小 𠃌
㫇	bag	  人 𠃌 𠃍
㫈	bag	㇣   人 𠃌
㫉	bag	㔾  厂 𠂊 𠃌
㫊	bag	 亅 口 
㫋	bag	 冉 
㫌	bag	 止 
㫍	bag	 亻 攵 
㫎	bag	 冖 車 
㫏	bag	 丨   
㫐	ordered	日 乚 丿
㫑	bag_ops	丿 日 
㫒	bag	 日
㫓	bag	乙 
㫔	ordered	日 
㫕	bag	 
㫖	ordered	⺊ 
㫗	bag	
㫘	bag	③ 
㫙	bag_ops	 日 
㫚	ordered	勹  日
㫛	bag	 
㫜	bag	 
㫝	bag	丶 日 氏
㫞	bag	 
㫟	bag	 𠘧
㫠	bag	 日
㫡	bag_ops	 夂 日 
㫢	bag	 日
㫣	bag	乚 日 
㫤	bag	㇇  亅 日
㫥	bag	丶  𠂊
㫦	bag	 日
㫧	bag	日 
㫨	bag_ops	 日 
㫩	bag	 
㫪	bag	 人 日
㫫	ordered	日 一 
㫬	bag	勹 
㫭	bag_ops	  
㫮	bag	 日 止
㫯	bag	 
㫰	bag	丶 日 艮
㫱	bag	④  
㫲	bag	 子 日
㫳	bag_ops	 日 𠄌  ⿸ ⿺
㫴	bag	子 
㫵	bag_ops	日 非 ⿰
㫶	bag	冖 巾 彐 日
㫷	bag	 日
㫸	bag	日 疌
㫹	bag	 日 𠂆
㫺	bag	  日
㫻	bag	 冂 
㫼	bag	 日 牛
㫽	bag	 日
㫾	bag	冂  日
㫿	bag	日 隹
㬀	bag	 
㬁	bag	 日 
㬂	bag	日 禺
㬃	bag	 厶 
㬄	bag	④  厂 日
㬅	bag	  𠃌
㬆	bag	 民
㬇	bag	  日 𠂊
㬈	bag	 皿
㬉	bag	  冂 日
㬊	bag_ops	    ⿸
㬋	bag	 日 
㬌	bag	 小 
㬍	bag	  月
㬎	bag	②  丶 日 
㬏	bag	   
㬐	bag	 
㬑	bag	 
㬒	bag	  犬
㬓	bag	  示
㬔	bag	  
㬕	bag	 日 礻
㬖	bag	 尸 攵 日
㬗	bag	冫 日 
㬘	bag	日 肅
㬙	bag	日 爲
㬚	bag	 攵 
㬛	bag	   
㬜	bag	 十 厶 厶 日
㬝	bag	  日
㬞	bag	 山  𠃊
㬟	ordered	勹  丷 囗 ⺌ 日
㬠	bag	彐 攵 日 灬 𠂊
㬡	bag	 冂 日 龴
㬢	bag	 我 日
㬣	bag	 十 
㬤	bag	②  丶  灬
㬥	bag	  日 米
㬦	bag	  隹
㬧	bag	②    小 日
㬨	bag	  
㬩	bag	  丨  日
㬪	bag	宀 彑  日
㬫	bag_ops	③  廿 日 灬  ⿳ ⿴ ⿺
㬬	bag	日 目 目 隹
㬭	bag	⑤ 丿  罒 𭕄
㬮	bag	 廿 日 隹
㬯	bag	  丷 几  
㬰	bag	人 日
㬱	bag	 日 
㬲	bag	  日 皿
㬳	bag	十 月 𠂉
㬴	bag	 
㬵	full	⿰ 月  丶 一 ⿱ 八 ⿻ 
㬶	bag	口 月 𠂒
㬷	bag	囗 月 木
㬸	bag	丨   月
㬹	bag	 月 
㬺	atomic_override	㬺
㬻	atomic_override	㬻
㬼	bag	夂 日  𠂉
㬽	bag	㇉   月
㬾	bag	  𠂉 𠘧
㬿	bag	  月
㭀	bag	  工 月 
㭁	bag_ops	 𠄎 ⿰ ⿹
㭂	bag	小 木
㭃	bag	 
㭄	bag	 木
㭅	bag	 一 
㭆	bag	丿 末 𠄎
㭇	bag	 
㭈	bag	 木 𠃍
㭉	bag	 
㭊	bag	木 片
㭋	bag	 
㭌	bag	木 牛
㭍	bag	 冫 木
㭎	bag	 木
㭏	bag	木 韦
㭐	bag	 末
㭑	bag	木 未
㭒	bag	㠯 木
㭓	bag	 
㭔	bag	乎 木
㭕	bag	 
㭖	bag_ops	 亻  
㭗	bag	木 皿
㭘	bag	 
㭙	bag	 木
㭚	bag	④ 木 𠂉
㭛	bag	④ 
㭜	bag	 木 𠂇
㭝	bag	九 
㭞	bag	 小 木 𠃌
㭟	bag	 朩
㭠	bag	 木 𠂒
㭡	bag	㐅 丿 
㭢	bag	 刂 木
㭣	bag	 门
㭤	bag	 
㭥	bag	木 
㭦	bag	 宀 木
㭧	bag	木 舟
㭨	bag	木 牙 阝
㭩	bag	丿 寸 
㭪	bag	 月 木
㭫	bag_ops	  
㭬	bag	一 木 𧰨
㭭	bag	  𠃌
㭮	bag	  
㭯	bag	木 耳 𠃊
㭰	bag	 朿 止
㭱	bag	匚 木 甲
㭲	bag	木 谷
㭳	bag	子 木 耂
㭴	bag	  木
㭵	bag	勹 木 田
㭶	bag	 十 木 𠃌
㭷	bag	 
㭸	bag	 
㭹	bag	 弓 木
㭺	bag	 
㭻	bag	⺌ 冂 
㭼	bag	 
㭽	bag	 木 氏
㭾	bag	 尸 木
㭿	bag	 
㮀	bag	丷  八 凵 木
㮁	bag	㐅 月 木 𠂇
㮂	bag_ops	 八  ⿴
㮃	bag	 
㮄	bag	  勹 木 𠃌
㮅	ordered	木 
㮆	bag	 人 木
㮇	bag	 人 小 木
㮈	bag	 
㮉	bag	 亻 木
㮊	bag	  龴
㮋	ordered	木 𠂇 月 阝
㮌	bag	 囗 木
㮍	bag_ops	  木 
㮎	bag	 木 皿
㮏	full	⿰  
㮐	bag	 
㮑	bag	 木 臼
㮒	ordered	木   一
㮓	bag	 忄 木
㮔	bag	木 重
㮕	bag	  冂 木
㮖	bag	木 革
㮗	bag	㇇   人 
㮘	bag_ops	 攵  ⿰ 
㮙	bag	  木
㮚	bag	⺊  囗 木
㮛	bag	 木 龰
㮜	bag	一  木 爿
㮝	bag	卩 木 谷
㮞	bag_ops	冫  欠 ⿰ 
㮟	ordered	木  
㮠	bag	 
㮡	bag	 巨 木
㮢	bag	 木 
㮣	bag	 朩
㮤	bag_ops	宀 木 谷 
㮥	bag	  田
㮦	bag	  小 木
㮧	atomic_override	㮧
㮨	bag	八 夂 木 田
㮩	bag	心 木 自
㮪	bag	 
㮫	bag	 木
㮬	bag	八   
㮭	bag	丷 囗 干 
㮮	bag	 手 木 𠃌
㮯	bag	一 囗 木 𧰨
㮰	bag	㐅 丿 囗 木 比
㮱	bag	丨  木 𠂒
㮲	bag	丨  勹 勹 木
㮳	bag	 月 木
㮴	bag	 木 臼
㮵	bag	 丹  
㮶	bag_ops	 月  
㮷	bag	 尢 
㮸	bag	 木 辶
㮹	bag	 攵 木
㮺	bag	 口 本
㮻	bag	丶 又 木 虫
㮼	bag	丶  尸 木 
㮽	bag_ops	又 木  ⿰ 
㮾	bag_ops	 月 
㮿	bag	⑨ 一 木
㯀	bag	 木 
㯁	bag	  阝
㯂	bag	⑤ 冖 巾 木
㯃	bag	丷  
㯄	bag	一 巴  𠂆
㯅	bag	 广 
㯆	bag	 木 生
㯇	bag	 木 非
㯈	bag	木 
㯉	bag	 ㇀ 乎 乚 木
㯊	bag	 木 止 灬
㯋	bag	 木 頁
㯌	bag	一 木 
㯍	bag_ops	冫  爿 𠂊 ⿰  ⿴
㯎	bag_ops	 言 ⿲
㯏	bag	 木 𠃜 𠘧
㯐	bag_ops	工 月 木  
㯑	bag	  弓 木 𠄌
㯒	bag	  𭕄
㯓	bag	   
㯔	bag_ops	    乚     ⿻
㯕	bag	 
㯖	bag	 心 木 罒
㯗	ordered	木 𠁣 𠃛 木
㯘	bag	 木 欠 示
㯙	bag	 攵 月 木
㯚	bag	 人  
㯛	bag	⑥   木
㯜	bag	   木
㯝	bag	 木 止
㯞	bag	  月 木
㯟	bag	 彑 
㯠	bag	 冖 木 牛
㯡	bag	丷   木
㯢	bag	 巳 木
㯣	bag	   𠃌
㯤	bag	  
㯥	bag	東 東
㯦	bag	 
㯧	bag	  
㯨	bag	  米
㯩	bag	  又 弓 木
㯪	bag	 冂 
㯫	bag	  木 𧰨
㯬	bag	 廴  
㯭	bag	  木 
㯮	bag	勹 木 罒 虫
㯯	bag	㐄 八 夂 
㯰	bag	 木 罒
㯱	bag	 冖  缶
㯲	bag	 
