character	code_hex	rank	freq
섹	EA00 EA69	990	3804
랬	EA01 EA69	991	3784
횟	EA02 EA69	992	3758
옳	EA03 EA69	993	3754
캡	EA04 EA69	994	3730
뭔	EA05 EA69	995	3729
펌	EA06 EA69	996	3702
닮	EA07 EA69	997	3692
툰	EA08 EA69	998	3685
굿	EA09 EA69	999	3673
킥	EA0A EA69	1000	3672
맘	EA00 EA6A	1001	3645
첼	EA01 EA6A	1002	3618
뻔	EA02 EA6A	1003	3607
윙	EA03 EA6A	1004	3599
흰	EA04 EA6A	1005	3589
늬	EA05 EA6A	1006	3575
엿	EA06 EA6A	1007	3561
쩔	EA07 EA6A	1008	3546
딪	EA08 EA6A	1009	3524
붓	EA09 EA6A	1010	3513
굽	EA0A EA6A	1011	3488
샷	EA00 EA6B	1012	3479
툼	EA01 EA6B	1013	3405
닦	EA02 EA6B	1014	3385
갚	EA03 EA6B	1015	3373
넬	EA04 EA6B	1016	3369
봅	EA05 EA6B	1017	3326
뭄	EA06 EA6B	1018	3308
촛	EA07 EA6B	1019	3301
렘	EA08 EA6B	1020	3298
캄	EA09 EA6B	1021	3295
